Statistical profiling result from isolate-0x140008000-46289-v8.log, (7037 ticks, 28 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     55    0.8%          /usr/lib/system/libsystem_malloc.dylib
     35    0.5%          /usr/lib/system/libsystem_c.dylib
     28    0.4%          /usr/lib/system/libsystem_pthread.dylib
     27    0.4%          /usr/lib/system/libsystem_kernel.dylib
     18    0.3%          /usr/lib/libc++.1.dylib
      7    0.1%          /usr/lib/system/libdyld.dylib
      4    0.1%          /usr/lib/system/libsystem_platform.dylib
      4    0.1%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     12    0.2%    0.2%  LazyCompile: *deserializeObject /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/parser/deserializer.js:43:33
     11    0.2%    0.2%  LazyCompile: *next /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:177:16
      9    0.1%    0.1%  LazyCompile: *clone /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/helpers/clone.js:30:15
      6    0.1%    0.1%  LazyCompile: *_init /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:690:17
      6    0.1%    0.1%  LazyCompile: *Document /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:73:18
      5    0.1%    0.1%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:67:35
      4    0.1%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      4    0.1%    0.1%  LazyCompile: *readableAddChunk node:internal/streams/readable:286:26
      4    0.1%    0.1%  LazyCompile: *get /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/helpers/get.js:8:30
      4    0.1%    0.1%  LazyCompile: *$__applyDefaults /Users/alexsandr/Downloads/blog-app_2/api/node_modules/mongoose/lib/document.js:367:26
      3    0.0%    0.0%  RegExp: ^\/?$
      3    0.0%    0.0%  RegExp: ^[A-Za-z0-9][A-Za-z0-9!#$&^_.-]{0,126}$
      3    0.0%    0.0%  LazyCompile: *writeOrBuffer node:internal/streams/writable:368:23
      3    0.0%    0.0%  LazyCompile: *setHeader node:_http_outgoing:646:57
      3    0.0%    0.0%  LazyCompile: *serializeInto /Users/alexsandr/Downloads/blog-app_2/api/node_modules/bson/lib/bson/parser/serializer.js:674:43
      3    0.0%    0.0%  LazyCompile: *resolve node:path:1091:10
      3    0.0%    0.0%  LazyCompile: *parserOnIncoming node:_http_server:1027:26
      3    0.0%    0.0%  LazyCompile: *matchKnownFields node:_http_incoming:279:26
      3    0.0%    0.0%  LazyCompile: *hasHooks node:internal/async_hooks:468:18
      3    0.0%    0.0%  LazyCompile: *handle /Users/alexsandr/Downloads/blog-app_2/api/node_modules/express/lib/router/index.js:136:31
